name,start,end
LICK,159.917,159.917
LICK,160.118,160.118
LICK,162.786,162.786
TRIAL,169.364,177.329
BAPHYTRIAL14_FILE1,169.364,177.329
HIT_TRIAL,169.364,177.329
STIM_933,169.364,169.864
REFERENCE,169.364,169.864
PreStimSilence,169.364,169.464
CORRECT_REJECT_TOKEN,169.464,169.764
PostStimSilence,169.764,169.864
STIM_812,169.864,170.364
REFERENCE,169.864,170.364
PreStimSilence,169.864,169.964
FALSE_ALARM_TOKEN,169.964,170.264
PostStimSilence,170.264,170.364
TAR_812+InfdB+Noise,170.364,170.864
TARGET,170.364,170.864
PreStimSilence,170.364,170.464
HIT_TOKEN,170.464,170.764
LICK,170.712,170.712
PostStimSilence,170.764,170.864
STIM_1625,170.864,172.364
REFERENCE,170.864,172.364
PreStimSilence,170.864,170.964
LICK,171.21,171.21
PostStimSilence,171.264,172.364
LICK,171.412,171.412
LICK,171.644,171.644
LICK,171.847,171.847
LICK,172.08,172.08
LICK,172.284,172.284
LICK,172.553,172.553
LICK,173.117,173.117
TRIAL,182.948,189.277
BAPHYTRIAL15_FILE1,182.948,189.277
FALSE_ALARM_TRIAL,182.948,189.277
STIM_536,182.948,183.448
REFERENCE,182.948,183.448
PreStimSilence,182.948,183.048
CORRECT_REJECT_TOKEN,183.048,183.348
PostStimSilence,183.348,183.448
STIM_1072,183.448,183.948
REFERENCE,183.448,183.948
PreStimSilence,183.448,183.548
FALSE_ALARM_TOKEN,183.548,183.848
PostStimSilence,183.848,183.948
STIM_1231,183.948,184.448
REFERENCE,183.948,184.448
PreStimSilence,183.948,184.048
FALSE_ALARM_TOKEN,184.048,184.348
LICK,184.181,184.181
PostStimSilence,184.348,184.448
LICK,184.416,184.416
TRIAL,195.332,203.293
BAPHYTRIAL16_FILE1,195.332,203.293
EARLY_TRIAL,195.332,203.293
INVALID_BAPHY_TRIAL,195.332,203.293
STIM_536,195.332,195.832
REFERENCE,195.332,195.832
PreStimSilence,195.332,195.432
CORRECT_REJECT_TOKEN,195.432,195.732
PostStimSilence,195.732,195.832
STIM_1072,195.832,196.332
REFERENCE,195.832,196.332
PreStimSilence,195.832,195.932
CORRECT_REJECT_TOKEN,195.932,196.232
PostStimSilence,196.232,196.332
STIM_1231,196.332,196.832
REFERENCE,196.332,196.832
PreStimSilence,196.332,196.432
FALSE_ALARM_TOKEN,196.432,196.732
PostStimSilence,196.732,196.832
TAR_812+0dB+Noise,196.832,198.332
TARGET,196.832,198.332
PreStimSilence,196.832,196.932
EARLY_TOKEN,196.932,197.232
LICK,197.011,197.011
PostStimSilence,197.232,198.332
LICK,197.277,197.277
LICK,197.476,197.476
LICK,197.745,197.745
LICK,197.981,197.981
LICK,198.148,198.148
LICK,198.377,198.377
LICK,198.614,198.614
LICK,198.981,198.981
TRIAL,209.849,216.431
BAPHYTRIAL17_FILE1,209.849,216.431
FALSE_ALARM_TRIAL,209.849,216.431
STIM_536,209.849,210.349
REFERENCE,209.849,210.349
PreStimSilence,209.849,209.949
CORRECT_REJECT_TOKEN,209.949,210.249
PostStimSilence,210.249,210.349
STIM_1072,210.349,210.849
REFERENCE,210.349,210.849
PreStimSilence,210.349,210.449
FALSE_ALARM_TOKEN,210.449,210.749
PostStimSilence,210.749,210.849
STIM_1231,210.849,211.349
REFERENCE,210.849,211.349
PreStimSilence,210.849,210.949
FALSE_ALARM_TOKEN,210.949,211.249
PostStimSilence,211.249,211.349
LICK,211.332,211.332
TRIAL,222.564,230.525
BAPHYTRIAL18_FILE1,222.564,230.525
HIT_TRIAL,222.564,230.525
INVALID_BAPHY_TRIAL,222.564,230.525
STIM_536,222.564,223.064
REFERENCE,222.564,223.064
PreStimSilence,222.564,222.664
CORRECT_REJECT_TOKEN,222.664,222.964
PostStimSilence,222.964,223.064
STIM_1072,223.064,223.564
REFERENCE,223.064,223.564
PreStimSilence,223.064,223.164
CORRECT_REJECT_TOKEN,223.164,223.464
PostStimSilence,223.464,223.564
STIM_1231,223.564,224.064
REFERENCE,223.564,224.064
PreStimSilence,223.564,223.664
CORRECT_REJECT_TOKEN,223.664,223.964
PostStimSilence,223.964,224.064
TAR_812+InfdB+Noise,224.064,225.564
TARGET,224.064,225.564
PreStimSilence,224.064,224.164
HIT_TOKEN,224.164,224.464
PostStimSilence,224.464,225.564
LICK,224.706,224.706
LICK,224.972,224.972
LICK,225.239,225.239
LICK,225.469,225.469
LICK,225.705,225.705
LICK,225.873,225.873
LICK,226.106,226.106
LICK,226.308,226.308
LICK,226.607,226.607
LICK,227.209,227.209
LICK,228.781,228.781
LICK,229.813,229.813
TRIAL,239.383,246.875
BAPHYTRIAL19_FILE1,239.383,246.875
EARLY_TRIAL,239.383,246.875
INVALID_BAPHY_TRIAL,239.383,246.875
STIM_1625,239.383,239.883
REFERENCE,239.383,239.883
PreStimSilence,239.383,239.483
CORRECT_REJECT_TOKEN,239.483,239.783
PostStimSilence,239.783,239.883
STIM_536,239.883,240.383
REFERENCE,239.883,240.383
PreStimSilence,239.883,239.983
FALSE_ALARM_TOKEN,239.983,240.283
PostStimSilence,240.283,240.383
TAR_812+0dB+Noise,240.383,241.883
TARGET,240.383,241.883
PreStimSilence,240.383,240.483
EARLY_TOKEN,240.483,240.783
LICK,240.567,240.567
PostStimSilence,240.783,241.883
LICK,240.804,240.804
LICK,241.304,241.304
LICK,241.509,241.509
LICK,241.744,241.744
LICK,241.941,241.941
LICK,242.139,242.139
LICK,242.504,242.504
LICK,242.731,242.731
LICK,243.243,243.243
TRIAL,254.451,261.924
BAPHYTRIAL20_FILE1,254.451,261.924
HIT_TRIAL,254.451,261.924
STIM_616,254.451,254.951
REFERENCE,254.451,254.951
PreStimSilence,254.451,254.551
CORRECT_REJECT_TOKEN,254.551,254.851
PostStimSilence,254.851,254.951
STIM_707,254.951,255.451
REFERENCE,254.951,255.451
PreStimSilence,254.951,255.051
CORRECT_REJECT_TOKEN,255.051,255.351
PostStimSilence,255.351,255.451
TAR_812+InfdB+Noise,255.451,256.951
TARGET,255.451,256.951
PreStimSilence,255.451,255.551
HIT_TOKEN,255.551,255.851
PostStimSilence,255.851,256.951
LICK,255.97,255.97
LICK,256.237,256.237
LICK,256.441,256.441
LICK,256.639,256.639
LICK,256.908,256.908
LICK,257.009,257.009
LICK,257.108,257.108
LICK,257.338,257.338
LICK,257.558,257.558
LICK,257.809,257.809
LICK,258.057,258.057
LICK,258.568,258.568
LICK,258.976,258.976
TRIAL,268.719,276.678
BAPHYTRIAL21_FILE1,268.719,276.678
HIT_TRIAL,268.719,276.678
STIM_812,268.719,269.219
REFERENCE,268.719,269.219
PreStimSilence,268.719,268.819
CORRECT_REJECT_TOKEN,268.819,269.119
PostStimSilence,269.119,269.219
STIM_406,269.219,269.719
REFERENCE,269.219,269.719
PreStimSilence,269.219,269.319
CORRECT_REJECT_TOKEN,269.319,269.619
PostStimSilence,269.619,269.719
TAR_812+InfdB+Noise,269.719,270.219
TARGET,269.719,270.219
PreStimSilence,269.719,269.819
HIT_TOKEN,269.819,270.119
PostStimSilence,270.119,270.219
STIM_308,270.219,271.719
REFERENCE,270.219,271.719
PreStimSilence,270.219,270.319
LICK,270.317,270.317
LICK,270.564,270.564
PostStimSilence,270.619,271.719
LICK,270.792,270.792
LICK,271.028,271.028
LICK,271.262,271.262
LICK,271.43,271.43
LICK,271.669,271.669
LICK,271.965,271.965
LICK,272.229,272.229
LICK,272.466,272.466
LICK,273.132,273.132
TRIAL,281.886,287.946
BAPHYTRIAL22_FILE1,281.886,287.946
FALSE_ALARM_TRIAL,281.886,287.946
STIM_1625,281.886,282.386
REFERENCE,281.886,282.386
PreStimSilence,281.886,281.986
FALSE_ALARM_TOKEN,281.986,282.286
PostStimSilence,282.286,282.386
STIM_536,282.386,282.886
REFERENCE,282.386,282.886
PreStimSilence,282.386,282.486
FALSE_ALARM_TOKEN,282.486,282.786
PostStimSilence,282.786,282.886
LICK,282.853,282.853
TRIAL,293.364,300.824
BAPHYTRIAL23_FILE1,293.364,300.824
HIT_TRIAL,293.364,300.824
INVALID_BAPHY_TRIAL,293.364,300.824
STIM_268,293.364,293.864
REFERENCE,293.364,293.864
PreStimSilence,293.364,293.464
CORRECT_REJECT_TOKEN,293.464,293.764
PostStimSilence,293.764,293.864
STIM_467,293.864,294.364
REFERENCE,293.864,294.364
PreStimSilence,293.864,293.964
CORRECT_REJECT_TOKEN,293.964,294.264
PostStimSilence,294.264,294.364
TAR_812+InfdB+Noise,294.364,295.864
TARGET,294.364,295.864
PreStimSilence,294.364,294.464
HIT_TOKEN,294.464,294.764
PostStimSilence,294.764,295.864
LICK,294.979,294.979
LICK,295.209,295.209
LICK,295.475,295.475
LICK,295.713,295.713
LICK,295.944,295.944
LICK,296.08,296.08
LICK,296.307,296.307
LICK,296.498,296.498
LICK,296.81,296.81
LICK,297.081,297.081
LICK,297.378,297.378
LICK,297.651,297.651
LICK,298.347,298.347
LICK,300.317,300.317
TRIAL,306.166,312.044
BAPHYTRIAL24_FILE1,306.166,312.044
FALSE_ALARM_TRIAL,306.166,312.044
STIM_1072,306.166,306.666
REFERENCE,306.166,306.666
PreStimSilence,306.166,306.266
FALSE_ALARM_TOKEN,306.266,306.566
PostStimSilence,306.566,306.666
STIM_1414,306.666,307.166
REFERENCE,306.666,307.166
PreStimSilence,306.666,306.766
FALSE_ALARM_TOKEN,306.766,307.066
LICK,306.979,306.979
PostStimSilence,307.066,307.166
TRIAL,317.225,324.184
BAPHYTRIAL25_FILE1,317.225,324.184
HIT_TRIAL,317.225,324.184
INVALID_BAPHY_TRIAL,317.225,324.184
STIM_354,317.225,317.725
REFERENCE,317.225,317.725
PreStimSilence,317.225,317.325
CORRECT_REJECT_TOKEN,317.325,317.625
PostStimSilence,317.625,317.725
TAR_812+0dB+Noise,317.725,319.225
TARGET,317.725,319.225
PreStimSilence,317.725,317.825
HIT_TOKEN,317.825,318.125
PostStimSilence,318.125,319.225
LICK,318.411,318.411
LICK,318.644,318.644
LICK,318.916,318.916
LICK,319.143,319.143
LICK,319.348,319.348
LICK,319.446,319.446
LICK,319.544,319.544
LICK,319.709,319.709
LICK,319.981,319.981
LICK,320.249,320.249
LICK,320.513,320.513
LICK,320.746,320.746
LICK,321.384,321.384
TRIAL,329.079,336.577
BAPHYTRIAL26_FILE1,329.079,336.577
CORRECT_REJECT_TRIAL,329.079,336.577
STIM_933,329.079,329.579
REFERENCE,329.079,329.579
PreStimSilence,329.079,329.179
CORRECT_REJECT_TOKEN,329.179,329.479
PostStimSilence,329.479,329.579
CAT_812+-InfdB+Noise,329.579,330.079
CATCH,329.579,330.079
PreStimSilence,329.579,329.679
CORRECT_REJECT_TOKEN,329.679,329.979
PostStimSilence,329.979,330.079
REM_812+InfdB+Noise+reminder,330.079,331.579
TARGET,330.079,331.579
PreStimSilence,330.079,330.179
HIT_TOKEN,330.179,330.479
PostStimSilence,330.479,331.579
LICK,330.594,330.594
LICK,330.827,330.827
LICK,331.06,331.06
LICK,331.291,331.291
LICK,331.513,331.513
LICK,331.695,331.695
LICK,332.492,332.492
LICK,332.696,332.696
LICK,336.058,336.058
TRIAL,342.807,348.944
BAPHYTRIAL27_FILE1,342.807,348.944
FALSE_ALARM_TRIAL,342.807,348.944
STIM_1072,342.807,343.307
REFERENCE,342.807,343.307
PreStimSilence,342.807,342.907
CORRECT_REJECT_TOKEN,342.907,343.207
PostStimSilence,343.207,343.307
STIM_1414,343.307,343.807
REFERENCE,343.307,343.807
PreStimSilence,343.307,343.407
FALSE_ALARM_TOKEN,343.407,343.707
PostStimSilence,343.707,343.807
TAR_812+0dB+Noise,343.807,345.307
TARGET,343.807,345.307
PreStimSilence,343.807,343.907
LICK,343.824,343.824
LICK,344.084,344.084
PostStimSilence,344.207,345.307
LICK,344.577,344.577
TRIAL,355.284,362.744
BAPHYTRIAL28_FILE1,355.284,362.744
HIT_TRIAL,355.284,362.744
INVALID_BAPHY_TRIAL,355.284,362.744
STIM_1866,355.284,355.784
REFERENCE,355.284,355.784
PreStimSilence,355.284,355.384
CORRECT_REJECT_TOKEN,355.384,355.684
PostStimSilence,355.684,355.784
TAR_812+0dB+Noise,355.784,356.284
TARGET,355.784,356.284
PreStimSilence,355.784,355.884
HIT_TOKEN,355.884,356.184
PostStimSilence,356.184,356.284
STIM_1231,356.284,357.784
REFERENCE,356.284,357.784
PreStimSilence,356.284,356.384
LICK,356.287,356.287
LICK,356.58,356.58
PostStimSilence,356.684,357.784
LICK,356.829,356.829
LICK,357.058,357.058
LICK,357.285,357.285
LICK,357.459,357.459
LICK,357.631,357.631
LICK,357.98,357.98
LICK,358.181,358.181
LICK,358.383,358.383
LICK,358.982,358.982
LICK,359.431,359.431
LICK,359.779,359.779
LICK,360.851,360.851
LICK,361.752,361.752
TRIAL,368.99,376.475
BAPHYTRIAL29_FILE1,368.99,376.475
HIT_TRIAL,368.99,376.475
STIM_1625,368.99,369.49
REFERENCE,368.99,369.49
PreStimSilence,368.99,369.09
CORRECT_REJECT_TOKEN,369.09,369.39
PostStimSilence,369.39,369.49
STIM_536,369.49,369.99
REFERENCE,369.49,369.99
PreStimSilence,369.49,369.59
CORRECT_REJECT_TOKEN,369.59,369.89
PostStimSilence,369.89,369.99
TAR_812+InfdB+Noise,369.99,371.49
TARGET,369.99,371.49
PreStimSilence,369.99,370.09
HIT_TOKEN,370.09,370.39
PostStimSilence,370.39,371.49
LICK,370.726,370.726
LICK,371.226,371.226
LICK,371.479,371.479
LICK,371.679,371.679
LICK,371.879,371.879
LICK,372.078,372.078
LICK,372.328,372.328
LICK,372.627,372.627
LICK,372.977,372.977
LICK,373.227,373.227
TRIAL,382.807,390.271
BAPHYTRIAL30_FILE1,382.807,390.271
HIT_TRIAL,382.807,390.271
STIM_1072,382.807,383.307
REFERENCE,382.807,383.307
PreStimSilence,382.807,382.907
CORRECT_REJECT_TOKEN,382.907,383.207
PostStimSilence,383.207,383.307
STIM_1414,383.307,383.807
REFERENCE,383.307,383.807
PreStimSilence,383.307,383.407
FALSE_ALARM_TOKEN,383.407,383.707
PostStimSilence,383.707,383.807
TAR_812+InfdB+Noise,383.807,385.307
TARGET,383.807,385.307
PreStimSilence,383.807,383.907
HIT_TOKEN,383.907,384.207
LICK,384.189,384.189
PostStimSilence,384.207,385.307
LICK,384.455,384.455
LICK,384.644,384.644
LICK,384.841,384.841
LICK,385.072,385.072
LICK,385.288,385.288
LICK,385.487,385.487
LICK,385.741,385.741
LICK,385.943,385.943
LICK,386.207,386.207
LICK,386.585,386.585
TRIAL,397.465,405.46
BAPHYTRIAL31_FILE1,397.465,405.46
HIT_TRIAL,397.465,405.46
STIM_268,397.465,397.965
REFERENCE,397.465,397.965
PreStimSilence,397.465,397.565
CORRECT_REJECT_TOKEN,397.565,397.865
PostStimSilence,397.865,397.965
TAR_812+InfdB+Noise,397.965,399.465
TARGET,397.965,399.465
PreStimSilence,397.965,398.065
HIT_TOKEN,398.065,398.365
PostStimSilence,398.365,399.465
LICK,398.889,398.889
LICK,399.088,399.088
LICK,399.633,399.633
LICK,399.9,399.9
TRIAL,415.298,422.791
BAPHYTRIAL32_FILE1,415.298,422.791
HIT_TRIAL,415.298,422.791
STIM_308,415.298,415.798
REFERENCE,415.298,415.798
PreStimSilence,415.298,415.398
CORRECT_REJECT_TOKEN,415.398,415.698
PostStimSilence,415.698,415.798
STIM_812,415.798,416.298
REFERENCE,415.798,416.298
PreStimSilence,415.798,415.898
CORRECT_REJECT_TOKEN,415.898,416.198
PostStimSilence,416.198,416.298
TAR_812+InfdB+Noise,416.298,417.798
TARGET,416.298,417.798
PreStimSilence,416.298,416.398
HIT_TOKEN,416.398,416.698
PostStimSilence,416.698,417.798
LICK,416.806,416.806
LICK,417.297,417.297
LICK,417.536,417.536
LICK,417.738,417.738
LICK,417.939,417.939
LICK,418.142,418.142
LICK,418.375,418.375
LICK,418.707,418.707
LICK,418.945,418.945
LICK,419.23,419.23
LICK,421.876,421.876
TRIAL,428.116,435.576
BAPHYTRIAL33_FILE1,428.116,435.576
HIT_TRIAL,428.116,435.576
STIM_707,428.116,428.616
REFERENCE,428.116,428.616
PreStimSilence,428.116,428.216
CORRECT_REJECT_TOKEN,428.216,428.516
PostStimSilence,428.516,428.616
STIM_406,428.616,429.116
REFERENCE,428.616,429.116
PreStimSilence,428.616,428.716
FALSE_ALARM_TOKEN,428.716,429.016
PostStimSilence,429.016,429.116
TAR_812+0dB+Noise,429.116,430.616
TARGET,429.116,430.616
PreStimSilence,429.116,429.216
HIT_TOKEN,429.216,429.516
PostStimSilence,429.516,430.616
LICK,429.593,429.593
LICK,429.828,429.828
LICK,430.061,430.061
LICK,430.267,430.267
